System Info,v2.00
"GIA 2","Exp Transaction ID Not Provided","0x79AC8CE0"
"GIA 1","Exp Transaction ID Not Provided","0xDDD20E25"
---
Activity Date:,"October-20-2021 13:12:32"
Loader Image:,"006-B2647-N8"
Loader Group:,"90-Ice Protection Options"
Loader Item:,"Enable Vref Airspeed Bug Option"
Loader Status:,"PASSED"
Aircraft ID:,"0xC4C03728"
Fleet ID:,"0xAA155D6F"
Product Name,Status,Transaction ID
"DATA TYPES","Exp Transaction ID Not Provided","0x824CF44E"
"CALIBRATION","Exp Transaction ID Not Provided","0x58DD48DE"
"AIRFRAME","Exp Transaction ID Not Provided","0xD00AF885"
---
Activity Date:,"October-20-2021 13:11:53"
Loader Image:,"006-B2647-N8"
Loader Group:,"90-Ice Protection Options"
Loader Item:,"Known IPS (FIKI) Digital Option"
Loader Status:,"PASSED"
Aircraft ID:,"0xC4C03728"
Fleet ID:,"0x817E1288"
Product Name,Status,Transaction ID
"GEA 71","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #1","Serial Number Out of Range","0xFFFFFFFF"
"WEIGHT AND BALANCE (FIKI)","Exp Transaction ID Not Provided","0x5B1EFF1C"
"DATA TYPES","Exp Transaction ID Not Provided","0x2F855E7E"
"ALERTS","Exp Transaction ID Not Provided","0x801D3EAC"
"TRIGGERS","Exp Transaction ID Not Provided","0x33FC1BF1"
"AIRFRAME","Exp Transaction ID Not Provided","0x68C300C6"
"GEA 71B","Exp Transaction ID Not Provided","0x0A4F4E2D"
"GIA 64 #1","Exp Transaction ID Not Provided","0xCEC6963C"
---
Activity Date:,"October-20-2021 13:09:09"
Loader Image:,"006-B2647-N8"
Loader Group:,"80-Other Options"
Loader Item:,"WX-500 Stormscope Installation Option"
Loader Status:,"PASSED"
Aircraft ID:,"0xC4C03728"
Fleet ID:,"0xC20001C4"
Product Name,Status,Transaction ID
"GIA 63W #2","Serial Number Out of Range","0xFFFFFFFF"
"GIA 64 #2","Exp Transaction ID Not Provided","0x5D4FEA85"
---
Activity Date:,"October-20-2021 13:08:09"
Loader Image:,"006-B2647-N8"
Loader Group:,"80-Other Options"
Loader Item:,"Oxygen Installation Option"
Loader Status:,"PASSED"
Aircraft ID:,"0xC4C03728"
Fleet ID:,"0x72F766DD"
Product Name,Status,Transaction ID
"GEA 71","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #2 - GEA-CFG","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #1 - GEA-CFG","Serial Number Out of Range","0xFFFFFFFF"
"ALERTS","Exp Transaction ID Not Provided","0x48B326D9"
"TRIGGERS","Exp Transaction ID Not Provided","0xD0263AA8"
"AIRFRAME","Exp Transaction ID Not Provided","0x0F8CD12D"
"GEA 71B","Exp Transaction ID Not Provided","0x71A37189"
"GIA 64 #2 - GEA-CFG","Exp Transaction ID Not Provided","0x49A0E445"
"GIA 64 #1 - GEA-CFG","Exp Transaction ID Not Provided","0x49A0E445"
---
Activity Date:,"October-20-2021 13:06:12"
Loader Image:,"006-B2647-N8"
Loader Group:,"80-Other Options"
Loader Item:,"KN63 DME Installation Option"
Loader Status:,"PASSED"
Aircraft ID:,"0xC4C03728"
Fleet ID:,"0xCE43A1F1"
Product Name,Status,Transaction ID
"GIA 63W #2","Serial Number Out of Range","0xFFFFFFFF"
"GIA 64 #2","Exp Transaction ID Not Provided","0xBB2FAFF1"
---
Activity Date:,"October-20-2021 13:05:38"
Loader Image:,"006-B2647-N8"
Loader Group:,"80-Other Options"
Loader Item:,"EVS Installation Option"
Loader Status:,"PASSED"
Aircraft ID:,"0xC4C03728"
Fleet ID:,"0xD62A5318"
Product Name,Status,Transaction ID
"AIRFRAME","Exp Transaction ID Not Provided","0x9CA4026B"
---
Activity Date:,"October-20-2021 13:04:54"
Loader Image:,"006-B2647-N8"
Loader Group:,"80-Other Options"
Loader Item:,"Enable FliteCharts"
Loader Status:,"PASSED"
Aircraft ID:,"0x9AF3CC94"
Fleet ID:,"0x303B7891"
Product Name,Status,Transaction ID
"AIRFRAME","Exp Transaction ID Not Provided","0x59E42D21"
---
Activity Date:,"October-20-2021 13:04:01"
Loader Image:,"006-B2647-N8"
Loader Group:,"70-Audio Panel Options"
Loader Item:,"GMA 350/350c Installation Option"
Loader Status:,"PASSED"
Aircraft ID:,"0x9AF3CC94"
Fleet ID:,"0x303B7891"
Product Name,Status,Transaction ID
"GMA 350 Unit Type Verification","Serial Number Out of Range","0xFFFFFFFF"
"GMA 350 Unit Type Verification","Serial Number Out of Range","0xFFFFFFFF"
"GMA 350 Unit Type Verification","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #2","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #1","Serial Number Out of Range","0xFFFFFFFF"
"GMA TTS Grammar","Exp Transaction ID Not Provided","0xFFFFFFFF"
"GMA ASR DB1 (Grammar)","Transaction Aborted","0xFFFFFFFF"
"GMA Audio Data","Exp Transaction ID Not Provided","0x3AA6C30D"
"GMA Auxiliary System","Transaction Aborted","0xFFFFFFFF"
"GMA Auxiliary Key Region","Transaction Aborted","0xFFFFFFFF"
"GMA Auxiliary Region List","Transaction Aborted","0xFFFFFFFF"
"GMA Auxiliary Boot Block-no S/N Chk","Transaction Aborted","0xFFFFFFFF"
"GMA 350/350c ARC Database","Exp Transaction ID Not Provided","0xB2367233"
"GMA 350/350c ARC Database","Transaction Aborted","0xFFFFFFFF"
"GMA Main System","Transaction Aborted","0xFFFFFFFF"
"GMA Main Key Region","Transaction Aborted","0xFFFFFFFF"
"GMA Main Key Region","Transaction Aborted","0xFFFFFFFF"
"GMA Main Region List","Transaction Aborted","0xFFFFFFFF"
"GMA Main Boot Block-no S/N Chk","Transaction Aborted","0xFFFFFFFF"
"AUDIO","Exp Transaction ID Not Provided","0x6CEF28B3"
"GIA 64 #2","Exp Transaction ID Not Provided","0x529EA0AE"
"GIA 64 #1","Exp Transaction ID Not Provided","0xC8347F64"
"MANIFEST","Exp Transaction ID Not Provided","0xF0460C54"
"AIRFRAME","Exp Transaction ID Not Provided","0x4DFCA75E"
---
Activity Date:,"October-20-2021 12:43:38"
Loader Image:,"006-B2647-N8"
Loader Group:,"60-Data Link Options"
Loader Item:,"GSR 56 Option (Voice/SMS/CONNEXT)"
Loader Status:,"PASSED"
Aircraft ID:,"0x9AF3CC94"
Fleet ID:,"0x4854D7FA"
Product Name,Status,Transaction ID
"GIA 63W #1","Serial Number Out of Range","0xFFFFFFFF"
"ALERTS","Exp Transaction ID Not Provided","0xBE38F350"
"TRIGGERS","Exp Transaction ID Not Provided","0x025DF89F"
"GIA 64 #1","Exp Transaction ID Not Provided","0x580ECE42"
"AIRFRAME","Exp Transaction ID Not Provided","0x58E31F48"
---
Activity Date:,"October-20-2021 12:30:50"
Loader Image:,"006-B2647-N8"
Loader Group:,"50-Traffic Options"
Loader Item:,"GTS 8XX Installation Option"
Loader Status:,"PASSED"
Aircraft ID:,"0x9AF3CC94"
Fleet ID:,"0xFA5BF1D9"
Product Name,Status,Transaction ID
"GIA 63W #2","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #1","Serial Number Out of Range","0xFFFFFFFF"
"GTS - SYS","Exp Transaction ID Not Provided","0xA4D7A35C"
"GTS - SYS","Transaction Aborted","0xFFFFFFFF"
"ALERTS","Exp Transaction ID Not Provided","0xB383B7C9"
"TRIGGERS","Exp Transaction ID Not Provided","0x36BFCC7A"
"GIA 64 #2","Exp Transaction ID Not Provided","0xB0A49C73"
"GIA 64 #1","Exp Transaction ID Not Provided","0xA11536CB"
"MANIFEST","Exp Transaction ID Not Provided","0xBA05ABB7"
"SYSTEM","Exp Transaction ID Not Provided","0xDB502CFF"
"AIRFRAME","Exp Transaction ID Not Provided","0x709AB490"
---
Activity Date:,"October-20-2021 12:28:25"
Loader Image:,"006-B2647-N8"
Loader Group:,"40-Transponder Options"
Loader Item:,"GTX 335 Installation Option"
Loader Status:,"PASSED"
Aircraft ID:,"0x9AF3CC94"
Fleet ID:,"0x3DE11AFB"
Product Name,Status,Transaction ID
"GIA 63W #2","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #1","Serial Number Out of Range","0xFFFFFFFF"
"GTX 335 CONFIG","Exp Transaction ID Not Provided","0x6E10EC1C"
"GTX 335 XHTML","Transaction Aborted","0xFFFFFFFF"
"GTX 335 FPGA","Transaction Aborted","0xFFFFFFFF"
"GTX 335 SYSTEM","Transaction Aborted","0xFFFFFFFF"
"GIA 64 #2","Exp Transaction ID Not Provided","0x534C5D90"
"GIA 64 #1","Exp Transaction ID Not Provided","0x534C5D90"
"MANIFEST","Exp Transaction ID Not Provided","0x1984B1B7"
"SYSTEM","Exp Transaction ID Not Provided","0xD99E731E"
"AIRFRAME","Exp Transaction ID Not Provided","0x5B4335BC"
---
Activity Date:,"October-20-2021 12:18:21"
Loader Image:,"006-B2647-N8"
Loader Group:,"30-Autopilot Options"
Loader Item:,"GFC 700 Add YD Installation Option"
Loader Status:,"PASSED"
Aircraft ID:,"0x9AF3CC94"
Fleet ID:,"0x20E5A6D9"
Product Name,Status,Transaction ID
"GIA 63W #2","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #1","Serial Number Out of Range","0xFFFFFFFF"
"YAW SERVO GAINS","Exp Transaction ID Not Provided","0xFFFFFFFF"
"YAW SERVO GAINS","Transaction Aborted","0xFFFFFFFF"
"YAW SERVO SOFTWARE","Transaction Aborted","0xFFFFFFFF"
"YAW SERVO SOFTWARE","Transaction Aborted","0xFFFFFFFF"
"GIA 64 #2","Exp Transaction ID Not Provided","0x951E6F23"
"GIA 64 #1","Exp Transaction ID Not Provided","0x951E6F23"
"ALERTS","Exp Transaction ID Not Provided","0x84FE89B9"
"TRIGGERS","Exp Transaction ID Not Provided","0x9D51E03B"
---
Activity Date:,"October-20-2021 12:11:09"
Loader Image:,"006-B2647-N8"
Loader Group:,"30-Autopilot Options"
Loader Item:,"GFC 700 Autopilot Installation Option"
Loader Status:,"PASSED"
Aircraft ID:,"0x9AF3CC94"
Fleet ID:,"0x9A7B8B3E"
Product Name,Status,Transaction ID
"PITCH TRIM ADAPTER SOFTWARE (-20)","Serial Number Out of Range","0xFFFFFFFF"
"GEA 71","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #2 - GEA-CFG","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #2 - GAINS","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #2","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #1 - GEA-CFG","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #1 - GAINS","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #1","Serial Number Out of Range","0xFFFFFFFF"
"ROLL SERVO GAINS","Exp Transaction ID Not Provided","0xFFFFFFFF"
"ROLL SERVO SOFTWARE","Transaction Aborted","0xFFFFFFFF"
"ROLL SERVO SOFTWARE","Transaction Aborted","0xFFFFFFFF"
"PITCH TRIM ADAPTER GAINS","Transaction Aborted","0xFFFFFFFF"
"PITCH TRIM ADAPTER SOFTWARE (-00)","Transaction Aborted","0xFFFFFFFF"
"PITCH SERVO GAINS","Transaction Aborted","0xFFFFFFFF"
"PITCH SERVO GAINS","Transaction Aborted","0xFFFFFFFF"
"PITCH SERVO SOFTWARE","Transaction Aborted","0xFFFFFFFF"
"PITCH SERVO SOFTWARE","Transaction Aborted","0xFFFFFFFF"
"GMC 707","Exp Transaction ID Not Provided","0x4F4865D1"
"GEA 71B","Exp Transaction ID Not Provided","0xEC575D3A"
"GIA 64 #2 - GEA-CFG","Exp Transaction ID Not Provided","0xD61162A3"
"GIA 64 #2 - GAINS","Transaction Aborted","0xFFFFFFFF"
"GIA 64 #2","Exp Transaction ID Not Provided","0x1E6FD349"
"GIA 64 #1 - GEA-CFG","Exp Transaction ID Not Provided","0xD61162A3"
"GIA 64 #1","Exp Transaction ID Not Provided","0xCEE73105"
"MFD","Exp Transaction ID Not Provided","0x194EF9D3"
"PFD","Exp Transaction ID Not Provided","0xF99989DC"
"MANIFEST","Exp Transaction ID Not Provided","0x22BE92AC"
"ALERTS","Exp Transaction ID Not Provided","0x1C493FF1"
"TRIGGERS","Exp Transaction ID Not Provided","0x0803FD6C"
"AIRFRAME","Exp Transaction ID Not Provided","0xB1CFBB9D"
---
Activity Date:,"October-20-2021 11:49:29"
Loader Image:,"006-B2647-N8"
Loader Group:,"10-AHRS ADC Options"
Loader Item:,"Dual GSU 75 ADAHRS Installation Option"
Loader Status:,"PASSED"
Aircraft ID:,"0x9AF3CC94"
Fleet ID:,"0x33BC6A1B"
Product Name,Status,Transaction ID
"GMU 44B #2","Serial Number Out of Range","0xFFFFFFFF"
"GMU 44B #1","Serial Number Out of Range","0xFFFFFFFF"
"GIA 64 #2 (GMU 44B)","Serial Number Out of Range","0xFFFFFFFF"
"GIA 64 #1 (GMU 44B)","Serial Number Out of Range","0xFFFFFFFF"
"MANIFEST (GMU 44B)","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #2","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #1","Serial Number Out of Range","0xFFFFFFFF"
"AHRS 2","Exp Transaction ID Not Provided","0x9F00A3C9"
"AHRS 2","Transaction Aborted","0xFFFFFFFF"
"AHRS 2","Transaction Aborted","0xFFFFFFFF"
"AHRS 1","Exp Transaction ID Not Provided","0x9F00A3C9"
"AHRS 1","Transaction Aborted","0xFFFFFFFF"
"ADC 2","Exp Transaction ID Not Provided","0x198B529B"
"ADC 2","Transaction Aborted","0xFFFFFFFF"
"ADC 2","Transaction Aborted","0xFFFFFFFF"
"ADC 1","Exp Transaction ID Not Provided","0x198B529B"
"ADC 1","Transaction Aborted","0xFFFFFFFF"
"ADC 1","Transaction Aborted","0xFFFFFFFF"
"GIA 64 #2","Exp Transaction ID Not Provided","0x8E239462"
"GIA 64 #1","Exp Transaction ID Not Provided","0x7D117565"
"MANIFEST","Exp Transaction ID Not Provided","0xC63BDEF8"
"PFD","Exp Transaction ID Not Provided","0x488EC7AF"
"MFD","Exp Transaction ID Not Provided","0x2F7606B3"
---
Activity Date:,"October-20-2021 10:59:25"
Loader Image:,"006-B2647-N8"
Loader Group:,"03-Cirrus SR22 Turbo"
Loader Item:,"Cirrus SR22 Turbo"
Loader Status:,"PASSED"
Aircraft ID:,"0x9AF3CC94"
Fleet ID:,"0x9ED449D5"
Product Name,Status,Transaction ID
"GEA 71","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #2 - COM","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #2 - NAV","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #2 - Config 429","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #2 - GEA-CFG","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #2 - GPS","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #2 - AUDIO DB","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #2 - SYS","Serial Number Out of Range","0xFFFFFFFF"
"AUDIO - GIA 63W","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #1 - COM","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #1 - Config 429","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #1 - GEA-CFG","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #1 - AUDIO DB","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #1 - SYS","Serial Number Out of Range","0xFFFFFFFF"
"WEIGHT AND BALANCE","Exp Transaction ID Not Provided","0x6B74CB8A"
"DATA TYPES","Exp Transaction ID Not Provided","0xC551933F"
"ALERTS","Exp Transaction ID Not Provided","0x37FD9064"
"TRIGGERS","Exp Transaction ID Not Provided","0x7AE86BFF"
"AUDIO - GIA 64","Exp Transaction ID Not Provided","0x41B9A729"
"CALIBRATION","Exp Transaction ID Not Provided","0x8AC544C9"
"GEA 71B - XHTML/Configuration","Exp Transaction ID Not Provided","0x32C0B1F9"
"GEA 71B - XHTML/Configuration","Transaction Aborted","0xFFFFFFFF"
"GEA 71B - Software","Transaction Aborted","0xFFFFFFFF"
"GEA 71B - Software","Transaction Aborted","0xFFFFFFFF"
"GIA 64 #2 - AUDIO DB","Transaction Aborted","0xFFFFFFFF"
"GIA 64 #2, COM Config","Exp Transaction ID Not Provided","0x3DD21180"
"GIA 64 #2 - GPS","Exp Transaction ID Not Provided","0xFFFFFFFF"
"GIA 64 #2 - GPS","Transaction Aborted","0xFFFFFFFF"
"GIA 64 #2 XHTML","Transaction Aborted","0xFFFFFFFF"
"GIA 64 #2 - Config 429","Exp Transaction ID Not Provided","0xEF653156"
"GIA 64 #2 CONFIG","Exp Transaction ID Not Provided","0x20336FCB"
"GIA 64 #2 - SYS","Exp Transaction ID Not Provided","0xFFFFFFFF"
"GIA 64 #2 - SYS","Transaction Aborted","0xFFFFFFFF"
"GIA 64 #2 Region List","Exp Transaction ID Not Provided","0xFFFFFFFF"
"GIA 64 #1 - AUDIO DB","Exp Transaction ID Not Provided","0xFFFFFFFF"
"GIA 64 #1, COM Config","Exp Transaction ID Not Provided","0xD0A109F5"
"GIA 64 #1 - GPS","Exp Transaction ID Not Provided","0xFFFFFFFF"
"GIA 64 #1 - GPS","Transaction Aborted","0xFFFFFFFF"
"GIA 64 #1 - Config 429","Exp Transaction ID Not Provided","0xEF653156"
"GIA 64 #1 CONFIG","Exp Transaction ID Not Provided","0x46F659D9"
"GIA 64 #1 - SYS","Exp Transaction ID Not Provided","0xFFFFFFFF"
"GIA 64 #1 - SYS","Transaction Aborted","0xFFFFFFFF"
"GIA 64 #1 Region List","Exp Transaction ID Not Provided","0xFFFFFFFF"
"GCU 479","Exp Transaction ID Not Provided","0x7E433E32"
"MFD","Exp Transaction ID Not Provided","0x9B5CAE76"
"PFD","Exp Transaction ID Not Provided","0xBB3A5C37"
"MANIFEST","Exp Transaction ID Not Provided","0x03339419"
"SYSTEM","Exp Transaction ID Not Provided","0x15494715"
"AIRFRAME","Exp Transaction ID Not Provided","0xB90D585C"
"CLEAR CONFIG","Transaction Passed","0x00000000"
"CONNECT DISPLAY LRUS","Exp Transaction ID Not Provided","0xD571C2D6"
---
Activity Date:,"July-20-2021 10:30:03"
Loader Image:,"010-00330-KA"
Loader Group:,"Enable_SurfaceWatch"
Loader Item:,"SurfaceWatch Feature Enable"
Loader Status:,"PASSED"
Aircraft ID:,"0xD2099979"
Fleet ID:,"0x33956792"
Product Name,Status,Transaction ID
"AIRFRAME","Exp Transaction ID Not Provided","0xA625BF3F"
---
Activity Date:,"July-20-2021 10:27:26"
Loader Image:,"Card-5ee7"
Loader Group:,"Configuration Files"
Loader Item:,"Enable ChartView"
Loader Status:,"PASSED"
Aircraft ID:,"0xD2099979"
Fleet ID:,"0x4D50EE09"
Product Name,Status,Transaction ID
"AIRFRAME","Exp Transaction ID Not Provided","0xFFFFFFFF"
---
Activity Date:,"July-20-2021 10:24:59"
Loader Image:,"Card-e5c0"
Loader Group:,"Configuration Files"
Loader Item:,"Enable SVS Single PFD"
Loader Status:,"PASSED"
Aircraft ID:,"0xD2099979"
Fleet ID:,"0xE9668F34"
Product Name,Status,Transaction ID
"AIRFRAME","Exp Transaction ID Not Provided","0xFFFFFFFF"
---
Activity Date:,"July-20-2021 10:23:43"
Loader Image:,"Card-7d77"
Loader Group:,"Configuration Files"
Loader Item:,"Enable TAWS"
Loader Status:,"PASSED"
Aircraft ID:,"0xD2099979"
Fleet ID:,"0xD3C223A5"
Product Name,Status,Transaction ID
"AIRFRAME","Exp Transaction ID Not Provided","0xFFFFFFFF"
---
Activity Date:,"July-20-2021 10:22:05"
Loader Image:,"010-00330-5C"
Loader Group:,"Enhanced AFCS"
Loader Item:,"Enable Enhanced AFCS"
Loader Status:,"PASSED"
Aircraft ID:,"0xD2099979"
Fleet ID:,"0xDAC2FADE"
Product Name,Status,Transaction ID
"GIA 2","Exp Transaction ID Not Provided","0x79AC8CE0"
"GIA 1","Exp Transaction ID Not Provided","0xDDD20E25"
---
Activity Date:,"July-20-2021 10:14:41"
Loader Image:,"006-B2647-N2"
Loader Group:,"90-Ice Protection Options"
Loader Item:,"Enable Vref Airspeed Bug Option"
Loader Status:,"PASSED"
Aircraft ID:,"0xD2099979"
Fleet ID:,"0xFF313DBF"
Product Name,Status,Transaction ID
"DATA TYPES","Exp Transaction ID Not Provided","0x824CF44E"
"CALIBRATION","Exp Transaction ID Not Provided","0x58DD48DE"
"AIRFRAME","Exp Transaction ID Not Provided","0xD00AF885"
---
Activity Date:,"July-20-2021 10:14:22"
Loader Image:,"006-B2647-N2"
Loader Group:,"90-Ice Protection Options"
Loader Item:,"Known IPS (FIKI) Digital Option"
Loader Status:,"PASSED"
Aircraft ID:,"0xD2099979"
Fleet ID:,"0x7CD2FB92"
Product Name,Status,Transaction ID
"GEA 71","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #1","Serial Number Out of Range","0xFFFFFFFF"
"WEIGHT AND BALANCE (FIKI)","Exp Transaction ID Not Provided","0x5B1EFF1C"
"DATA TYPES","Exp Transaction ID Not Provided","0x2F855E7E"
"ALERTS","Exp Transaction ID Not Provided","0xEB3647A3"
"TRIGGERS","Exp Transaction ID Not Provided","0xA729D493"
"AIRFRAME","Exp Transaction ID Not Provided","0x68C300C6"
"GEA 71B","Exp Transaction ID Not Provided","0x0A4F4E2D"
"GIA 64 #1","Exp Transaction ID Not Provided","0xCB22E4E7"
---
Activity Date:,"July-20-2021 10:11:19"
Loader Image:,"006-B2647-N2"
Loader Group:,"80-Other Options"
Loader Item:,"WX-500 Stormscope Installation Option"
Loader Status:,"PASSED"
Aircraft ID:,"0xD2099979"
Fleet ID:,"0xF5A9C541"
Product Name,Status,Transaction ID
"GIA 63W #2","Serial Number Out of Range","0xFFFFFFFF"
"GIA 64 #2","Exp Transaction ID Not Provided","0xACC4FBCF"
---
Activity Date:,"July-20-2021 10:10:40"
Loader Image:,"006-B2647-N2"
Loader Group:,"80-Other Options"
Loader Item:,"Oxygen Installation Option"
Loader Status:,"PASSED"
Aircraft ID:,"0xD2099979"
Fleet ID:,"0x99EC43B5"
Product Name,Status,Transaction ID
"GEA 71","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #2 - GEA-CFG","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #1 - GEA-CFG","Serial Number Out of Range","0xFFFFFFFF"
"ALERTS","Exp Transaction ID Not Provided","0xEEB146EF"
"TRIGGERS","Exp Transaction ID Not Provided","0xAFF7F149"
"AIRFRAME","Exp Transaction ID Not Provided","0x755CBCC3"
"GEA 71B","Exp Transaction ID Not Provided","0x71A37189"
"GIA 64 #2 - GEA-CFG","Exp Transaction ID Not Provided","0x199DC4E7"
"GIA 64 #1 - GEA-CFG","Exp Transaction ID Not Provided","0x199DC4E7"
---
Activity Date:,"July-20-2021 10:08:54"
Loader Image:,"006-B2647-N2"
Loader Group:,"80-Other Options"
Loader Item:,"KN63 DME Installation Option"
Loader Status:,"PASSED"
Aircraft ID:,"0xD2099979"
Fleet ID:,"0x63D5F1CB"
Product Name,Status,Transaction ID
"GIA 63W #2","Serial Number Out of Range","0xFFFFFFFF"
"GIA 64 #2","Exp Transaction ID Not Provided","0x0DE8CBFF"
---
Activity Date:,"July-20-2021 10:08:29"
Loader Image:,"006-B2647-N2"
Loader Group:,"80-Other Options"
Loader Item:,"EVS Installation Option"
Loader Status:,"PASSED"
Aircraft ID:,"0xD2099979"
Fleet ID:,"0x12FC23E4"
Product Name,Status,Transaction ID
"AIRFRAME","Exp Transaction ID Not Provided","0x1BAFC128"
---
Activity Date:,"July-20-2021 10:07:37"
Loader Image:,"006-B2647-N2"
Loader Group:,"70-Audio Panel Options"
Loader Item:,"GMA 350/350c Installation Option"
Loader Status:,"PASSED"
Aircraft ID:,"0xD2099979"
Fleet ID:,"0x85ACE236"
Product Name,Status,Transaction ID
"GMA 350 Unit Type Verification","Serial Number Out of Range","0xFFFFFFFF"
"GMA 350 Unit Type Verification","Serial Number Out of Range","0xFFFFFFFF"
"GMA 350 Unit Type Verification","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #2","Serial Number Out of Range","0xFFFFFFFF"
"GIA 63W #1","Serial Number Out of Range","0xFFFFFFFF"
"GMA 350/350c ARC Database","Exp Transaction ID Not Provided","0x024428BE"
"AUDIO","Exp Transaction ID Not Provided","0x6CEF28B3"
"GIA 64 #2","Exp Transaction ID Not Provided","0xCF855FFE"
"GIA 64 #1","Exp Transaction ID Not Provided","0xACC4FBCF"
"SYSTEM","Exp Transaction ID Not Provided","0x239D18D2"
"AIRFRAME","Exp Transaction ID Not Provided","0x4DFCA75E"
---
Activity Date:,"July-20-2021 10:05:50"
Loader Image:,"006-B2647-N2"
Loader Group:,"60-Data Link Options"
